iter	MultiClass
0	1.090957012
1	1.084845711
2	1.079743568
3	1.075286174
4	1.071645964
5	1.068543042
6	1.065850994
7	1.063443244
8	1.061386831
9	1.059565937
10	1.057908288
11	1.056498883
12	1.055199565
13	1.053964065
14	1.052959773
15	1.05203341
16	1.05121964
17	1.050427222
18	1.049696321
19	1.049122029
20	1.048551296
21	1.048048763
22	1.047489621
23	1.047060867
24	1.046626905
25	1.046177251
26	1.045832799
27	1.045512097
28	1.04513372
29	1.044827553
30	1.044585769
31	1.044300188
32	1.044079815
33	1.043840297
34	1.04363949
35	1.04339058
36	1.043161885
37	1.042948401
38	1.042775503
39	1.042588445
40	1.042397273
41	1.042163956
42	1.041981241
43	1.0417978
44	1.041563772
45	1.041437448
46	1.041300976
47	1.04116415
48	1.041043178
49	1.040882545
50	1.040754802
51	1.040613847
52	1.040507911
53	1.040382524
54	1.040258726
55	1.040156047
56	1.040047002
57	1.039939796
58	1.039805416
59	1.03965953
60	1.039563043
61	1.039474878
62	1.039382428
63	1.039231675
64	1.039116927
65	1.039022164
66	1.038912062
67	1.038816705
68	1.038719347
69	1.038632151
70	1.038554463
71	1.038468593
72	1.038364569
73	1.03827086
74	1.038172868
75	1.038093986
76	1.038024614
77	1.037923353
78	1.037838749
79	1.0377339
80	1.037649211
81	1.037563831
82	1.03744236
83	1.037347745
84	1.037264387
85	1.037169889
86	1.037104648
87	1.037008982
88	1.036921109
89	1.036840875
90	1.036746257
91	1.03664262
92	1.036546818
93	1.036456304
94	1.036377232
95	1.036298239
96	1.036202862
97	1.036119694
98	1.036021452
99	1.035912605
100	1.035804425
101	1.035694021
102	1.035617426
103	1.03550805
104	1.035421176
105	1.035343614
106	1.035252211
107	1.035121239
108	1.035024852
109	1.034937137
110	1.03483556
111	1.034725808
112	1.034652098
113	1.034577142
114	1.034460109
115	1.034364226
116	1.034271045
117	1.034170725
118	1.034100772
119	1.033995764
120	1.033900937
121	1.033825387
122	1.033730534
123	1.033655856
124	1.033532444
125	1.033454426
126	1.033365692
127	1.033279391
128	1.033195205
129	1.033092778
130	1.032995321
131	1.032907904
132	1.032824833
133	1.032748617
134	1.032663988
135	1.032572617
136	1.032481172
137	1.032385241
138	1.032265943
139	1.032158161
140	1.03206594
141	1.031959275
142	1.031850653
143	1.03174227
144	1.031629941
145	1.031529624
146	1.031427532
147	1.0313432
148	1.031236802
149	1.031152179
150	1.031039445
151	1.030950485
152	1.030862214
153	1.030760903
154	1.030684373
155	1.030583214
156	1.030496442
157	1.030388495
158	1.030293402
159	1.030205848
160	1.030133149
161	1.030046261
162	1.029953422
163	1.02987956
164	1.029774666
165	1.029689936
166	1.029599545
167	1.029506343
168	1.029413252
169	1.029319202
170	1.029229163
171	1.029129468
172	1.029012951
173	1.028937201
174	1.028848026
175	1.028759364
176	1.028663068
177	1.028569607
178	1.028479085
179	1.028380524
180	1.028296149
181	1.028208271
182	1.028091634
183	1.028004371
184	1.027904627
185	1.027808106
186	1.027712958
187	1.027632785
188	1.027541872
189	1.027451519
190	1.027353329
191	1.027261127
192	1.027159525
193	1.027069201
194	1.026980811
195	1.026879228
196	1.026795565
197	1.026709938
198	1.026620042
199	1.026539709
200	1.026442056
201	1.02636039
202	1.026258924
203	1.026172959
204	1.026081242
205	1.02597447
206	1.025881639
207	1.025795813
208	1.025716851
209	1.025627514
210	1.025552225
211	1.02546774
212	1.025390962
213	1.025315259
214	1.025215958
215	1.025129555
216	1.025051427
217	1.024966352
218	1.024877518
219	1.024782158
220	1.024693648
221	1.024610806
222	1.024522982
223	1.024429567
224	1.024323713
225	1.024250161
226	1.024163985
227	1.024073946
228	1.023994884
229	1.023907769
230	1.023821925
231	1.023718041
232	1.023616131
233	1.023532523
234	1.023438105
235	1.023343544
236	1.023266633
237	1.02318869
238	1.023093811
239	1.022995144
240	1.022892796
241	1.022811908
242	1.022724776
243	1.022644853
244	1.022552823
245	1.022455242
246	1.022366288
247	1.022275035
248	1.022186712
249	1.022118306
250	1.022049045
251	1.021959664
252	1.021865024
253	1.021780742
254	1.021695774
255	1.02161697
256	1.021538673
257	1.021452642
258	1.021360634
259	1.021267749
260	1.021164548
261	1.02107879
262	1.020992516
263	1.020903975
264	1.020791053
265	1.020713515
266	1.020604566
267	1.020514217
268	1.020425628
269	1.02034594
270	1.020268411
271	1.020158603
272	1.020058005
273	1.019979446
274	1.019889149
275	1.019812864
276	1.019738934
277	1.019650076
278	1.019573242
279	1.019497325
280	1.019432233
281	1.01934243
282	1.0192694
283	1.019197103
284	1.019115009
285	1.019028389
286	1.01894353
287	1.018848657
288	1.018762009
289	1.018675919
290	1.018592327
291	1.018501916
292	1.018426701
293	1.018330844
294	1.018241981
295	1.018174194
296	1.018083834
297	1.017991259
298	1.017913309
299	1.017828054
300	1.017745703
301	1.017647734
302	1.017550536
303	1.017463779
304	1.017392639
305	1.017318781
306	1.017234112
307	1.017155199
308	1.01705729
309	1.016973419
310	1.016890447
311	1.016817392
312	1.016732811
313	1.016652362
314	1.016559992
315	1.01648124
316	1.016393453
317	1.016307284
318	1.016226719
319	1.016147103
320	1.016068902
321	1.015983702
322	1.015895034
323	1.015808923
324	1.015732864
325	1.015654977
326	1.015556937
327	1.01548481
328	1.015394612
329	1.015317452
330	1.015243812
331	1.015152814
332	1.015064747
333	1.014988075
334	1.014916464
335	1.014829479
336	1.014741794
337	1.01466305
338	1.014578862
339	1.014495486
340	1.014401451
341	1.014303349
342	1.014209252
343	1.014110254
344	1.014037296
345	1.013947472
346	1.013872653
347	1.013783884
348	1.013694276
349	1.013608459
350	1.013525019
351	1.013443596
352	1.013371931
353	1.013274238
354	1.013210419
355	1.013114301
356	1.01303378
357	1.012944431
358	1.012846202
359	1.012760832
360	1.012663306
361	1.012584758
362	1.012500805
363	1.012410616
364	1.012333221
365	1.012261254
366	1.012166396
367	1.012086738
368	1.01202104
369	1.011932965
370	1.011848193
371	1.011774089
372	1.011690408
373	1.011599141
374	1.011516514
375	1.011433603
376	1.011336569
377	1.011261438
378	1.011168219
379	1.011082321
380	1.011003545
381	1.010916068
382	1.010836076
383	1.010752736
384	1.010673557
385	1.010597913
386	1.010521131
387	1.010436998
388	1.010356672
389	1.010268397
390	1.010173889
391	1.010093654
392	1.009998787
393	1.009925086
394	1.009841223
395	1.00975436
396	1.009654805
397	1.009561433
398	1.009489926
399	1.009421298
400	1.009338337
401	1.009254691
402	1.009175075
403	1.009091368
404	1.009005302
405	1.00892172
406	1.008846219
407	1.008774565
408	1.008680398
409	1.008582054
410	1.008502494
411	1.008419966
412	1.008322483
413	1.008232265
414	1.008148303
415	1.008070827
416	1.00799608
417	1.00790959
418	1.00783048
419	1.007758658
420	1.007691154
421	1.00759177
422	1.00749969
423	1.007420919
424	1.007343014
425	1.00725725
426	1.00716734
427	1.007095718
428	1.007026787
429	1.006955246
430	1.006890014
431	1.00680383
432	1.006722801
433	1.006643086
434	1.00657745
435	1.006494439
436	1.006417627
437	1.006318946
438	1.006234218
439	1.006166105
440	1.006077394
441	1.005991617
442	1.005923538
443	1.005845978
444	1.005766435
445	1.005693562
446	1.005637663
447	1.005560327
448	1.005488678
449	1.00541663
450	1.005335902
451	1.005262484
452	1.005201669
453	1.005126577
454	1.005060664
455	1.004988018
456	1.004917661
457	1.004843869
458	1.004757166
459	1.004691404
460	1.004623057
461	1.004538153
462	1.004462682
463	1.004373568
464	1.004303652
465	1.004216929
466	1.004123694
467	1.004045552
468	1.003964681
469	1.003889225
470	1.003810986
471	1.003725659
472	1.003643893
473	1.003552452
474	1.003466924
475	1.003395439
476	1.003321704
477	1.003252512
478	1.003153586
479	1.003071091
480	1.002988858
481	1.002930913
482	1.002850682
483	1.002768298
484	1.002682379
485	1.002604434
486	1.002528183
487	1.002444396
488	1.002362413
489	1.002287316
490	1.002215206
491	1.002132038
492	1.002070353
493	1.001993272
494	1.001920261
495	1.001852978
496	1.001766729
497	1.001683219
498	1.001597227
499	1.001526741
500	1.001457654
501	1.001389991
502	1.001317681
503	1.001226838
504	1.001154847
505	1.001071276
506	1.000993723
507	1.000909457
508	1.000830745
509	1.000751546
510	1.000669696
511	1.000598956
512	1.000508654
513	1.000431852
514	1.000344246
515	1.000267135
516	1.000180795
517	1.000107512
518	1.00003422
519	0.9999537162
520	0.9998785849
521	0.9998166926
522	0.9997501127
523	0.9996889548
524	0.9996051896
525	0.9995169771
526	0.9994347803
527	0.9993597983
528	0.9992670931
529	0.9991934908
530	0.9991137594
