iter	Passed	Remaining
0	182	182758
1	199	99784
2	218	72529
3	235	58608
4	251	50043
5	267	44382
6	283	40274
7	299	37185
8	326	35967
9	358	35454
10	374	33700
11	392	32301
12	420	31942
13	436	30742
14	468	30781
15	500	30774
16	517	29931
17	549	29966
18	564	29169
19	580	28428
20	595	27751
21	625	27797
22	656	27874
23	672	27346
24	687	26827
25	702	26325
26	717	25873
27	733	25467
28	748	25074
29	766	24797
30	783	24484
31	798	24155
32	814	23859
33	829	23577
34	845	23314
35	861	23059
36	876	22820
37	893	22622
38	923	22767
39	938	22532
40	954	22314
41	968	22085
42	983	21883
43	1002	21771
44	1018	21608
45	1034	21453
46	1066	21618
47	1081	21442
48	1110	21561
49	1126	21398
50	1140	21229
51	1158	21123
52	1174	20984
53	1190	20861
54	1206	20737
55	1221	20599
56	1238	20493
57	1252	20350
58	1270	20261
59	1284	20127
60	1301	20031
61	1317	19935
62	1333	19835
63	1349	19737
64	1363	19619
65	1378	19505
66	1396	19449
67	1411	19342
68	1430	19298
69	1446	19213
70	1460	19113
71	1477	19037
72	1492	18958
73	1508	18879
74	1522	18781
75	1540	18733
76	1556	18658
77	1570	18565
78	1587	18503
79	1600	18410
80	1615	18323
81	1629	18238
82	1643	18161
83	1666	18170
84	1682	18115
85	1696	18034
86	1710	17948
87	1724	17872
88	1738	17799
89	1761	17810
90	1775	17736
91	1793	17701
92	1807	17629
93	1821	17555
94	1836	17492
95	1850	17427
96	1871	17426
97	1885	17355
98	1905	17337
99	1920	17280
100	1935	17229
101	1952	17186
102	1966	17125
103	1980	17064
104	1994	17004
105	2015	16995
106	2031	16956
107	2045	16897
108	2060	16840
109	2078	16820
110	2095	16779
111	2109	16727
112	2124	16675
113	2138	16618
114	2152	16565
115	2174	16570
116	2190	16529
117	2204	16479
118	2221	16449
119	2236	16397
120	2249	16343
121	2264	16294
122	2277	16240
123	2301	16262
124	2317	16225
125	2331	16175
126	2350	16154
127	2363	16103
128	2378	16057
129	2397	16044
130	2411	15997
131	2425	15947
132	2439	15901
133	2453	15855
134	2476	15868
135	2490	15824
136	2508	15800
137	2522	15754
138	2535	15707
139	2549	15664
140	2564	15624
141	2578	15581
142	2592	15539
143	2619	15570
144	2633	15527
145	2650	15506
146	2666	15472
147	2680	15430
